test,expected,result
iriw_TB_023_1_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE.als,, SAT
iriw_TB_023_1_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_3_FENCE.als,, SAT
iriw_TB_023_1_SCOPE_BLOCK_NO_FENCE_ACQUIRE.als,, SAT
iriw_TB_023_1_SCOPE_BLOCK_NO_FENCE_RELAXED.als,, SAT
iriw_TB_023_1_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_BOTH_FENCE.als,, SAT
iriw_TB_023_1_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE.als,, SAT
iriw_TB_023_1_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_3_FENCE.als,, SAT
iriw_TB_023_1_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_BOTH_FENCE.als,, SAT
iriw_TB_023_1_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE.als,, SAT
iriw_TB_023_1_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_3_FENCE.als,, SAT
iriw_TB_023_1_SCOPE_DEVICE_NO_FENCE_ACQUIRE.als,, SAT
iriw_TB_023_1_SCOPE_DEVICE_NO_FENCE_RELAXED.als,, SAT
iriw_TB_03_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_BOTH_FENCE.als,, SAT
iriw_TB_03_12_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_BOTH_FENCE.als,, SAT
iriw_TB_03_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_FENCE.als,, SAT
iriw_TB_03_12_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_FENCE.als,, SAT
iriw_TB_03_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_3_FENCE.als,, SAT
iriw_TB_03_12_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_3_FENCE.als,, SAT
iriw_TB_03_1_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_BOTH_FENCE.als,, SAT
iriw_TB_03_12_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_BOTH_FENCE.als,, SAT
iriw_TB_03_1_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE.als,, SAT
iriw_TB_03_12_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE.als,, SAT
iriw_TB_03_1_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_3_FENCE.als,, SAT
iriw_TB_03_12_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_3_FENCE.als,, SAT
iriw_TB_03_1_2_SCOPE_BLOCK_NO_FENCE_ACQUIRE.als,, SAT
iriw_TB_03_12_SCOPE_BLOCK_NO_FENCE_ACQUIRE.als,, SAT
iriw_TB_03_1_2_SCOPE_BLOCK_NO_FENCE_RELAXED.als,, SAT
iriw_TB_03_12_SCOPE_BLOCK_NO_FENCE_RELAXED.als,, SAT
iriw_TB_03_1_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_BOTH_FENCE.als,, SAT
iriw_TB_03_12_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_BOTH_FENCE.als,, SAT
iriw_TB_03_1_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE.als,, SAT
iriw_TB_03_12_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE.als,, SAT
iriw_TB_03_1_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_3_FENCE.als,, SAT
iriw_TB_03_12_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_3_FENCE.als,, SAT
iriw_TB_03_1_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_BOTH_FENCE.als,, SAT
iriw_TB_03_12_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_BOTH_FENCE.als,, SAT
iriw_TB_03_1_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE.als,, SAT
iriw_TB_03_12_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE.als,, SAT
iriw_TB_03_1_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_3_FENCE.als,, SAT
iriw_TB_03_12_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_3_FENCE.als,, SAT
iriw_TB_03_1_2_SCOPE_DEVICE_NO_FENCE_ACQUIRE.als,, SAT
iriw_TB_03_12_SCOPE_DEVICE_NO_FENCE_ACQUIRE.als,, SAT
iriw_TB_03_1_2_SCOPE_DEVICE_NO_FENCE_RELAXED.als,, SAT
iriw_TB_03_12_SCOPE_DEVICE_NO_FENCE_RELAXED.als,, SAT
isa2_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_ALL_FENCE.als,, SAT
isa2_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_ALL_FENCE.als,, SAT
isa2_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_ALL_FENCE.als,, SAT
isa2_TB_012_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_ALL_FENCE.als,,UNSAT
isa2_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_0_1_FENCE.als,, SAT
isa2_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_0_1_FENCE.als,, SAT
isa2_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_0_1_FENCE.als,, SAT
isa2_TB_012_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_0_1_FENCE.als,,UNSAT
